SeqId,Heap3SortNComp,Heap3SortTns,AVLTreeSortNComp,AVLTreeSortTns,
seq_50_0,134,1733600,215,4307000,
seq_50_1,132,219600,217,245200,
seq_50_2,133,183900,219,226600,
seq_50_3,131,178100,220,217400,
seq_50_4,124,419400,219,206800,
seq_50_5,134,159400,219,211300,
seq_50_6,130,55700,209,123000,
seq_50_7,135,94400,221,256000,
seq_50_8,130,111600,219,136200,
seq_50_9,127,45100,222,73900,
seq_50_10,129,48700,215,76900,
seq_50_11,137,46100,223,102800,
seq_50_12,126,46400,216,73000,
seq_50_13,130,43900,213,73200,
seq_50_14,132,47600,213,87100,
seq_50_15,130,74300,209,120500,
seq_50_16,132,48400,218,96900,
seq_50_17,128,102000,209,80300,
seq_50_18,134,34500,211,52000,
seq_50_19,130,26100,220,51700,
seq_50_20,136,25400,214,81300,
seq_50_21,138,42000,208,60300,
seq_50_22,130,48200,221,101200,
seq_50_23,132,44100,224,98400,
seq_50_24,128,26200,223,60800,
seq_50_25,132,26200,210,76900,
seq_50_26,137,26000,214,63600,
seq_50_27,127,26800,218,38300,
seq_50_28,129,54800,214,72200,
seq_50_29,127,40600,225,73400,
seq_50_30,129,39600,224,61200,
seq_50_31,130,50300,218,87200,
seq_50_32,130,40000,222,79800,
seq_50_33,127,42800,217,66600,
seq_50_34,134,39300,220,36700,
seq_50_35,136,38600,216,37500,
seq_50_36,130,37500,217,32400,
seq_50_37,133,36300,220,32300,
seq_50_38,133,61400,222,36400,
seq_50_39,136,38200,213,49500,
seq_50_40,128,38200,217,36800,
seq_50_41,130,46700,220,46300,
seq_50_42,129,31500,227,49700,
seq_50_43,136,40400,221,40900,
seq_50_44,123,26000,211,24900,
seq_50_45,124,30100,220,52400,
seq_50_46,128,36700,224,24100,
seq_50_47,129,36300,222,40200,
seq_50_48,135,39900,215,38600,
seq_50_49,135,40100,218,26100,
seq_50_50,126,82000,211,33700,
seq_50_51,132,39700,226,39000,
seq_50_52,136,41000,224,41100,
seq_50_53,132,47400,221,69500,
seq_50_54,129,49300,216,42200,
seq_50_55,132,39300,221,29600,
seq_50_56,130,28600,221,39800,
seq_50_57,127,33300,222,26400,
seq_50_58,134,53500,218,30700,
seq_50_59,127,27200,217,28600,
seq_50_60,130,36900,228,28600,
seq_50_61,134,35500,208,38900,
seq_50_62,133,43300,225,64200,
seq_50_63,127,43200,219,35600,
seq_50_64,136,56700,221,40500,
seq_50_65,132,24000,217,46000,
seq_50_66,133,39300,215,27500,
seq_50_67,125,51600,227,38200,
seq_50_68,132,54000,219,51200,
seq_50_69,129,24100,220,21200,
seq_50_70,131,25200,219,19900,
seq_50_71,130,24100,218,33100,
seq_50_72,126,24700,216,21200,
seq_50_73,132,24500,215,18600,
seq_50_74,129,23800,225,26600,
seq_50_75,135,37800,219,32200,
seq_50_76,126,39800,228,29700,
seq_50_77,127,40100,218,32700,
seq_50_78,128,35500,211,25500,
seq_50_79,137,25700,208,18200,
seq_50_80,131,40100,222,107200,
seq_50_81,129,30300,217,65800,
seq_50_82,137,25700,214,19000,
seq_50_83,121,23600,222,19700,
seq_50_84,129,24800,224,18300,
seq_50_85,136,26300,224,35500,
seq_50_86,137,24800,219,18200,
seq_50_87,126,23900,217,17400,
seq_50_88,128,23400,215,16200,
seq_50_89,128,24400,220,17600,
seq_50_90,132,27600,220,18500,
seq_50_91,132,25500,219,18400,
seq_50_92,128,23500,217,130400,
seq_50_93,133,33400,215,33500,
seq_50_94,135,24900,220,16300,
seq_50_95,135,481800,221,61500,
seq_50_96,126,46900,212,32300,
seq_50_97,125,59400,218,43600,
seq_50_98,131,25100,215,35500,
seq_50_99,120,24300,221,16000,
seq_100_0,313,100100,534,100500,
seq_100_1,318,54600,526,166800,
seq_100_2,323,88200,530,120500,
seq_100_3,318,58100,529,44500,
seq_100_4,312,61000,532,36900,
seq_100_5,310,55200,526,32300,
seq_100_6,334,80700,518,30100,
seq_100_7,316,14400,531,33900,
seq_100_8,319,27100,532,18800,
seq_100_9,326,13800,540,17900,
seq_100_10,317,16700,537,23700,
seq_100_11,318,14200,537,20200,
seq_100_12,320,13900,523,17900,
seq_100_13,318,23100,542,34200,
seq_100_14,315,22900,549,36900,
seq_100_15,317,23400,531,37900,
seq_100_16,322,83500,528,69100,
seq_100_17,328,24000,530,40300,
seq_100_18,306,20400,534,30400,
seq_100_19,321,20300,524,26500,
seq_100_20,316,18800,539,27000,
seq_100_21,316,20300,523,29000,
seq_100_22,325,20000,530,30600,
seq_100_23,322,16100,531,42400,
seq_100_24,332,14900,537,20500,
seq_100_25,327,18900,535,73500,
seq_100_26,322,22200,536,41900,
seq_100_27,328,22800,514,58300,
seq_100_28,326,24600,533,71300,
seq_100_29,328,32500,529,61800,
seq_100_30,321,21300,537,45300,
seq_100_31,329,27200,526,45600,
seq_100_32,327,16300,523,29400,
seq_100_33,322,14500,546,35200,
seq_100_34,326,23800,527,31300,
seq_100_35,321,21300,539,37100,
seq_100_36,315,23400,539,33800,
seq_100_37,320,21300,540,31800,
seq_100_38,324,20300,518,28900,
seq_100_39,330,22200,534,34200,
seq_100_40,331,16400,525,33400,
seq_100_41,320,19100,541,33400,
seq_100_42,316,18200,530,26900,
seq_100_43,324,20600,543,30400,
seq_100_44,321,15400,514,20000,
seq_100_45,327,19100,524,29300,
seq_100_46,318,25900,538,61900,
seq_100_47,308,29300,543,41700,
seq_100_48,315,22100,545,40300,
seq_100_49,320,16600,529,42000,
seq_100_50,330,14800,528,20500,
seq_100_51,327,40200,529,36100,
seq_100_52,316,17300,546,30100,
seq_100_53,312,15500,538,22200,
seq_100_54,314,13900,537,19500,
seq_100_55,327,13900,542,18500,
seq_100_56,310,13700,530,28200,
seq_100_57,327,20400,530,28800,
seq_100_58,322,14500,537,22100,
seq_100_59,319,14300,534,20800,
seq_100_60,315,13200,541,18200,
seq_100_61,322,23200,527,34900,
seq_100_62,324,23100,536,32300,
seq_100_63,321,51200,531,40800,
seq_100_64,316,23000,528,28100,
seq_100_65,317,20900,532,52500,
seq_100_66,324,27800,531,38700,
seq_100_67,325,15400,535,24900,
seq_100_68,326,21600,514,28300,
seq_100_69,331,20400,542,30200,
seq_100_70,324,13900,538,17700,
seq_100_71,323,12900,539,17600,
seq_100_72,317,25300,537,37900,
seq_100_73,315,20600,537,32100,
seq_100_74,321,15200,541,22500,
seq_100_75,312,18700,531,33300,
seq_100_76,320,15000,533,21200,
seq_100_77,335,14400,534,19200,
seq_100_78,326,14000,536,18400,
seq_100_79,308,13400,540,30400,
seq_100_80,332,13900,530,19500,
seq_100_81,330,13300,524,17500,
seq_100_82,309,12700,532,24400,
seq_100_83,320,13300,532,18100,
seq_100_84,323,13600,527,16500,
seq_100_85,331,13100,526,18600,
seq_100_86,321,16900,541,22100,
seq_100_87,322,17800,526,19500,
seq_100_88,320,16300,530,20300,
seq_100_89,323,13200,545,18500,
seq_100_90,309,13200,521,19000,
seq_100_91,309,17900,528,24400,
seq_100_92,325,21000,531,29200,
seq_100_93,323,21400,525,29200,
seq_100_94,332,26100,525,35800,
seq_100_95,321,13800,535,19000,
seq_100_96,328,13700,530,18300,
seq_100_97,331,13700,527,20500,
seq_100_98,316,19400,540,46000,
seq_100_99,320,24300,546,37200,
seq_150_0,545,32800,880,59900,
seq_150_1,550,25500,873,45200,
seq_150_2,545,21300,887,40300,
seq_150_3,524,22100,886,26500,
seq_150_4,548,21600,885,33800,
seq_150_5,527,23800,877,30900,
seq_150_6,532,21200,866,37200,
seq_150_7,544,27100,878,31100,
seq_150_8,534,20900,888,52100,
seq_150_9,539,20100,893,25100,
seq_150_10,536,20200,892,33700,
seq_150_11,530,20400,882,64600,
seq_150_12,535,29600,905,51900,
seq_150_13,531,48300,871,151000,
seq_150_14,525,34700,882,65100,
seq_150_15,533,32300,897,55300,
seq_150_16,539,30400,877,49800,
seq_150_17,541,59800,889,42000,
seq_150_18,536,25800,878,35000,
